COLUMN_NAME,NAME,DESCRIPTION,FORMAT
symptom_abdominal_mass_post_index,Abdominal mass post-index (boolean),Indicates whether the patient had an **abdominal mass** condition recorded on or after the index date and within the study period.,boolean
symptom_abdominal_mass_pre_fibrosis_proc_60d,Abdominal mass condition in 60-day pre-procedure window,Indicates whether the patient had at least one **abdominal mass condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_abdominal_pain_post_index,Abdominal pain post-index (boolean),Indicates whether the patient had an **abdominal pain** condition or observation recorded on or after the index date and within the study period.,boolean
symptom_abdominal_pain_pre_fibrosis_proc_30d,Abdominal pain in 30-day pre-procedure window,Indicates whether the patient had at least one **abdominal pain** condition or observation recorded between 1 and 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_abdominal_pain_pre_fibrosis_proc_60d,Abdominal pain in 60-day pre-procedure window,Indicates whether the patient had at least one **abdominal pain** condition or observation recorded between 1 and 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_arthritis_post_index,IBD-related or enteropathic arthritis post-index (boolean),Indicates whether the patient had an **IBD-related or enteropathic arthritis** condition recorded on or after the index date and within the study period.,boolean
symptom_arthritis_pre_fibrosis_proc_30d,IBD-related arthritis condition in 30-day pre-procedure window,Indicates whether the patient had at least one **IBD-related or enteropathic arthritis condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_arthritis_pre_fibrosis_proc_60d,IBD-related arthritis condition in 60-day pre-procedure window,Indicates whether the patient had at least one **IBD-related or enteropathic arthritis condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_diarrhea_post_index,Diarrhea or stool frequency post-index (boolean),Indicates whether the patient had a **diarrhea or stool frequency** condition or observation recorded on or after the index date and within the study period.,boolean
symptom_diarrhea_pre_fibrosis_proc_30d,Diarrhea or stool frequency in 30-day pre-procedure window,Indicates whether the patient had at least one **diarrhea or stool frequency** condition or observation recorded between 1 and 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_diarrhea_pre_fibrosis_proc_60d,Diarrhea or stool frequency in 60-day pre-procedure window,Indicates whether the patient had at least one **diarrhea or stool frequency** condition or observation recorded between 1 and 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_erythema_nodosum_post_index,Erythema nodosum post-index (boolean),Indicates whether the patient had an **erythema nodosum** condition recorded on or after the index date and within the study period.,boolean
symptom_erythema_nodosum_pre_fibrosis_proc_30d,Erythema nodosum condition in 30-day pre-procedure window,Indicates whether the patient had at least one **erythema nodosum condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_erythema_nodosum_pre_fibrosis_proc_60d,Erythema nodosum condition in 60-day pre-procedure window,Indicates whether the patient had at least one **erythema nodosum condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_fatigue_post_index,Fatigue post-index (boolean),Indicates whether the patient had a **fatigue** condition or observation recorded on or after the index date and within the study period.,boolean
symptom_fatigue_pre_fibrosis_proc_30d,Fatigue in 30-day pre-procedure window,Indicates whether the patient had at least one **fatigue** condition or observation recorded between 1 and 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_fatigue_pre_fibrosis_proc_60d,Fatigue symptom in 60-day pre-procedure window,Indicates whether the patient had at least one **fatigue symptom** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_iritis_uveitis_post_index,"Iritis, uveitis, or eye inflammation post-index (boolean)","Indicates whether the patient had an **iritis, uveitis, or eye inflammation** condition recorded on or after the index date and within the study period.",boolean
symptom_iritis_uveitis_pre_fibrosis_proc_30d,"Iritis, uveitis, or eye inflammation condition in 30-day pre-procedure window","Indicates whether the patient had at least one **iritis, uveitis, or eye inflammation condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.",boolean
symptom_iritis_uveitis_pre_fibrosis_proc_60d,"Iritis, uveitis, or eye inflammation condition in 60-day pre-procedure window","Indicates whether the patient had at least one **iritis, uveitis, or eye inflammation condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.",boolean
symptom_perianal_post_index,Perianal disease post-index (boolean),"Indicates whether the patient had a **perianal disease** condition (anorectal fistula, anal abscess, or related perianal condition) recorded on or after the index date and within the study period.",boolean
symptom_perianal_pre_fibrosis_proc_30d,Perianal disease condition in 30-day pre-procedure window,Indicates whether the patient had at least one **perianal disease condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_perianal_pre_fibrosis_proc_60d,Perianal disease condition in 60-day pre-procedure window,Indicates whether the patient had at least one **perianal disease condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_pyoderma_post_index,Pyoderma gangrenosum post-index (boolean),Indicates whether the patient had a **pyoderma gangrenosum** condition recorded on or after the index date and within the study period.,boolean
symptom_pyoderma_pre_fibrosis_proc_30d,Pyoderma gangrenosum condition in 30-day pre-procedure window,Indicates whether the patient had at least one **pyoderma gangrenosum condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
symptom_pyoderma_pre_fibrosis_proc_60d,Pyoderma gangrenosum condition in 60-day pre-procedure window,Indicates whether the patient had at least one **pyoderma gangrenosum condition** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
